i;j;demand
31;219;28.26106161
31;93;6.54598032
31;98;5.834388889
31;103;13.43863793
31;105;2.939264715
31;106;6.34564529
31;39;2.947566361
31;113;29.25892256
31;83;5.968928773
31;118;14.50255787
31;121;38.37620085
31;170;5.913421707
167;129;42.19599657
167;2;150.384479
167;6;62.60522809
167;135;154.1790683
167;14;51.44132468
167;144;9.975980315
167;152;6.950049883
167;147;23.52930042
167;149;12.9491579
167;22;32.32153514
167;151;17.91114857
167;24;9.452751788
167;25;11.32623596
167;47;149.1048829
167;28;11.42328346
167;158;698.7275952
167;31;12.08315981
167;42;31.41590553
167;44;31.06682873
167;175;65.02368335
167;178;54.6181828
167;180;32.4117593
167;57;601.0479793
167;63;96.17199769
167;193;20.98169857
167;194;99.5122521
167;69;77.26385298
167;198;72.59314679
167;72;55.76786171
167;74;87.44294988
167;206;27.29367468
167;80;102.5041179
167;211;55.20983723
167;213;14.77343783
167;214;7.850427246
167;87;223.233389
167;217;99.89615515
167;219;25.40447657
167;93;83.78869668
167;98;86.68210082
167;103;194.7403933
167;105;24.98708476
167;106;58.94100064
167;39;64.34753765
167;113;73.34236817
167;83;85.33603011
167;118;66.18075991
167;121;239.6793251
167;170;226.9299105
42;129;3.928852862
42;2;13.70122387
42;6;6.027978402
42;135;13.22978821
42;14;5.103551487
42;144;1.962471296
42;152;1.745310004
42;147;9.409919201
42;149;5.114953847
42;22;2.68532261
42;151;3.582353258
42;24;0.847022986
42;25;1.105786273
42;47;79.03922813
42;28;1.115261071
42;158;15.32626353
42;31;1.17968514
42;167;21.84315641
42;44;84.1198228
42;175;34.00504047
42;178;26.22300844
42;180;21.35082678
42;57;35.42878902
42;63;17.75902996
42;193;3.340834364
42;194;12.24437954
42;69;2.785751461
42;198;7.216391119
42;72;2.416717111
42;74;3.585208216
42;206;2.920693832
42;80;27.19747142
42;211;5.674613726
42;213;1.771588145
42;214;0.850298695
42;87;15.84628929
42;217;10.72075986
42;219;2.481395194
42;93;7.702380339
42;98;13.65701194
42;103;44.43118807
42;105;4.440805868
42;106;15.40575658
42;39;38.71441506
42;113;6.695756664
42;83;4.419392793
42;118;4.700993928
42;121;16.4259771
42;170;13.51928364
44;129;6.792450093
44;2;23.6875451
44;6;9.774589912
44;135;22.87249721
44;14;8.823343605
44;144;7.847357351
44;152;9.815899264
44;147;44.28808894
44;149;21.63798323
44;22;4.620150708
44;151;17.7101042
44;24;1.464387077
44;25;1.911753465
44;47;65.62145445
44;28;1.928134097
44;158;26.49701677
44;31;2.039514515
44;167;36.54638018
44;42;94.29294903
44;175;69.04128134
44;178;47.31460972
44;180;76.44590239
44;57;54.21431917
44;63;15.78625516
44;193;6.353704625
44;194;21.66411787
44;69;4.816183869
44;198;12.47615481
44;72;4.178173869
44;74;6.198335427
44;206;5.0494808
44;80;29.68067232
44;211;10.07112966
44;213;3.062833983
44;214;1.492932496
44;87;26.60273007
44;217;19.14316794
44;219;4.289993444
44;93;12.88866025
44;98;20.08837456
44;103;70.98139872
44;105;7.379044268
44;106;26.63107552
44;39;109.6037725
44;113;11.57604893
44;83;7.093913151
44;118;7.863381729
44;121;28.39827135
44;170;27.44248084
175;129;10.86162262
175;2;37.87811058
175;6;15.63028148
175;135;42.31536464
175;14;14.10916933
175;144;4.969417724
175;152;3.524172906
175;147;19.30963873
175;149;6.878328813
175;22;7.387957625
175;151;7.190681223
175;24;2.341661637
175;25;3.057033089
175;47;81.09082432
175;28;3.083226913
175;158;33.37083027
175;31;3.261332317
175;167;47.43607955
175;42;67.78625337
175;44;32.55610387
175;178;218.245615
175;180;53.35303364
175;57;80.10173258
175;63;23.72358484
175;193;17.22252045
175;194;46.3846717
175;69;6.805284287
175;198;21.74945105
175;72;6.245391773
175;74;9.857365186
175;206;8.074487725
175;80;44.85403775
175;211;16.10447015
175;213;5.093043385
175;214;2.387307841
175;87;64.28773149
175;217;30.61132039
175;219;6.860012102
175;93;35.19360015
175;98;41.41125206
175;103;210.6290812
175;105;19.27620646
175;106;55.89475499
175;39;30.52789083
175;113;18.32644719
175;83;11.28041621
175;118;12.57412034
175;121;45.4109051
175;170;27.47617315
178;129;16.58529157
178;2;55.68932471
178;6;22.87604419
178;135;73.0729881
178;14;23.89499728
178;144;8.690090097
178;152;4.852566067
178;147;21.50845959
178;149;10.82381492
178;22;9.846441517
178;151;11.69878172
178;24;3.443927397
178;25;4.496038131
178;47;75.71791247
178;28;4.534561898
178;158;40.2369135
178;31;4.796504986
178;167;57.29681063
178;42;32.01527373
178;44;42.76863692
178;175;246.712587
178;180;69.06639785
178;57;105.4361751
178;63;23.38343097
178;193;43.70790313
178;194;99.20208661
178;69;8.787792847
178;198;39.25770281
178;72;8.758428144
178;74;13.83820967
178;206;11.87530643
178;80;51.11370257
178;211;29.83830698
178;213;7.490438144
178;214;3.629167742
178;87;89.01155347
178;217;45.02066536
178;219;11.12903814
178;93;55.1435299
178;98;71.71510303
178;103;326.8852916
178;105;46.34585418
178;106;128.2056298
178;39;38.34933278
178;113;26.95306297
178;83;18.29866997
178;118;18.49300379
178;121;67.35339151
178;170;32.15285802
180;129;8.105928527
180;2;29.64792387
180;6;12.00954508
180;135;32.20438737
180;14;10.52260245
180;144;11.1000344
180;152;5.755786211
180;147;49.86362543
180;149;11.83632982
180;22;5.243466499
180;151;14.27898783
180;24;1.808004959
180;25;2.360345703
180;47;50.21083546
180;28;2.380570045
180;158;27.37413537
180;31;2.518085836
180;167;35.69157716
180;42;34.53211462
180;44;141.1268098
180;175;122.3146134
180;178;111.920354
180;57;65.20692733
180;63;16.00773324
180;193;12.56743948
180;194;32.62655952
180;69;5.254383272
180;198;15.90362303
180;72;4.743369805
180;74;6.751333802
180;206;6.234339588
180;80;23.94287355
180;211;13.07469904
180;213;3.932356216
180;214;1.905253078
180;87;38.9632228
180;217;23.63510517
180;219;5.296638806
180;93;23.26556295
180;98;25.0562302
180;103;116.5519786
180;105;13.85632313
180;106;38.78677226
180;39;52.55629683
180;113;14.14991255
180;83;8.709647935
180;118;9.70852132
180;121;35.06191514
180;170;22.44491757
57;129;54.63793039
57;2;195.6562074
57;6;80.21873147
57;135;229.152108
57;14;67.37754964
57;144;12.78085396
57;152;9.042292198
57;147;30.61255865
57;149;15.78443119
57;22;40.10476539
57;151;22.5658136
57;24;11.50063678
57;25;14.73588489
57;47;202.8571581
57;28;14.86214756
57;158;452.8722161
57;31;15.72067302
57;167;833.7093032
57;42;40.87334655
57;44;41.34911195
57;175;77.30503569
57;178;71.06043504
57;180;38.15678795
57;63;193.6754143
57;193;28.15129486
57;194;136.8387163
57;69;94.73483491
57;198;90.6290926
57;72;111.0690568
57;74;104.1281267
57;206;37.6338533
57;80;204.5753443
57;211;73.80221575
57;213;19.31578354
57;214;10.21371907
57;87;302.4141322
57;217;130.6008225
57;219;33.05223764
57;93;112.8425875
57;98;112.7768717
57;103;269.2253841
57;105;39.34756445
57;106;79.4323369
57;39;68.20109242
57;113;95.42134729
57;83;96.60900195
57;118;80.72519627
57;121;281.5862854
57;170;321.0617085
63;129;6.12998443
63;2;21.31154126
63;6;9.426782884
63;135;23.17258747
63;14;7.567656776
63;144;1.712814185
63;152;1.237403863
63;147;4.867865643
63;149;2.771387766
63;22;4.474974741
63;151;2.973117574
63;24;1.336607688
63;25;1.712609258
63;47;55.98357853
63;28;1.727283546
63;158;44.89631311
63;31;1.82706165
63;167;63.94371856
63;42;8.297237129
63;44;8.029185314
63;175;12.95943313
63;178;11.079709
63;180;6.548010377
63;57;162.7943852
63;193;4.098663763
63;194;15.58061573
63;69;6.283576094
63;198;10.28088116
63;72;8.628659949
63;74;7.724581426
63;206;4.348722095
63;80;30.53912778
63;211;8.788674846
63;213;2.604849034
63;214;1.204089683
63;87;32.33725334
63;217;16.35536557
63;219;3.824625544
63;93;10.59413335
63;98;15.78003001
63;103;32.42267751
63;105;4.969970502
63;106;10.8605568
63;39;15.95329518
63;113;10.53710994
63;83;8.388351817
63;118;7.795007454
63;121;28.5984207
63;170;45.71951161
193;129;10.66830516
193;2;21.91820709
193;6;9.088034264
193;135;40.72040273
193;14;15.99329586
193;144;1.44729691
193;152;0.893399695
193;147;3.474531356
193;149;1.63943072
193;22;3.846890463
193;151;2.120614658
193;24;1.345502478
193;25;1.745372292
193;47;14.84333624
193;28;1.782776244
193;158;13.60319712
193;31;1.873938849
193;167;18.82818433
193;42;3.946522478
193;44;5.202998174
193;175;14.42477887
193;178;28.51085499
193;180;8.288220746
193;57;28.1985548
193;63;5.61778686
193;194;114.8897842
193;69;3.49059
193;198;29.20511884
193;72;2.781266346
193;74;5.293450649
193;206;6.115334235
193;80;10.21624076
193;211;21.18432364
193;213;3.810275367
193;214;1.658433051
193;87;47.69021502
193;217;20.48935306
193;219;4.398213647
193;93;46.79194569
193;98;26.88183067
193;103;81.02584839
193;105;109.0436578
193;106;119.3193623
193;39;5.34239183
193;113;10.55393439
193;83;8.47369288
193;118;8.099557444
193;121;36.05233113
193;170;8.170415215
194;129;36.14242014
194;2;64.79727362
194;6;29.4835662
194;135;205.7077347
194;14;56.2300489
194;144;3.367473619
194;152;2.112753532
194;147;6.921422919
194;149;3.501929675
194;22;11.22012499
194;151;5.394279707
194;24;3.662029492
194;25;4.646970636
194;47;23.60496432
194;28;4.746776458
194;158;31.4830405
194;31;5.099095347
194;167;41.076533
194;42;6.125369025
194;44;7.762305834
194;175;19.86856847
194;178;30.21618093
194;180;10.7359957
194;57;67.85279877
194;63;11.18273103
194;193;64.98797306
194;69;8.67438181
194;198;204.5101836
194;72;8.990744615
194;74;17.68579471
194;206;22.73593014
194;80;19.23744395
194;211;102.8693847
194;213;13.66884578
194;214;5.076794128
194;87;126.8337516
194;217;73.52163321
194;219;13.9499578
194;93;192.9436122
194;98;49.0428213
194;103;102.5871761
194;105;57.04535905
194;106;56.10701862
194;39;9.580426747
194;113;32.60874411
194;83;26.63779233
194;118;25.83221635
194;121;112.9889901
194;170;17.94063644
69;129;10.36204641
69;2;27.97326498
69;6;11.95326464
69;135;34.05009811
69;14;11.31663913
69;144;1.37263257
69;152;0.885323384
69;147;2.905990486
69;149;1.52646655
69;22;6.247461035
69;151;2.260176171
69;24;1.763825667
69;25;1.959746249
69;47;13.73320614
69;28;1.976385802
69;158;97.01773372
69;31;2.106180154
69;167;149.2957393
69;42;2.768752379
69;44;3.837172947
69;175;6.011861278
69;178;7.140604592
69;180;3.669618416
69;57;89.90635255
69;63;11.81200809
69;193;3.473087636
69;194;17.37453581
69;198;14.55918529
69;72;103.762104
69;74;108.5271132
69;206;4.429232469
69;80;9.200144207
69;211;8.595145607
69;213;2.551961011
69;214;1.353203151
69;87;44.85578071
69;217;17.58904349
69;219;4.488416808
69;93;11.2736407
69;98;10.93511285
69;103;22.45780866
69;105;4.209462594
69;106;8.154655976
69;39;5.36454528
69;113;18.52492167
69;83;19.61140362
69;118;28.30624911
69;121;57.58675533
69;170;19.96393998
198;129;103.4320863
198;2;84.27192312
198;6;40.64088891
198;135;296.609598
198;14;271.0971322
198;144;3.35243164
198;152;2.11889867
198;147;6.909461044
198;149;3.495987531
198;22;14.76916136
198;151;5.455117508
198;24;4.36329581
198;25;4.832705306
198;47;18.39299419
198;28;4.873196059
198;158;33.27955167
198;31;5.755276495
198;167;37.70100886
198;42;4.56240463
198;44;7.117801046
198;175;11.99488681
198;178;16.87425815
198;180;8.465994943
198;57;56.16639256
198;63;9.118959228
198;193;17.84976575
198;194;169.8288606
198;69;8.294912311
