x;y;gid;Name;description;new
6.1241805;50.9618657;180;Carpaccio-Ristorante Italiano GmbH;Restaurant;Restaurant
6.1237774;50.9619581;181;Pizzeria Napoli;Pizzeria;Restaurant
6.12124;50.964104;182;Hotel/Restaurant am Markt;Restaurant;Restaurant
6.1207728;50.9708318;183;Restaurant Akropolis;Restaurant;Restaurant
6.1239543;50.9610728;184;Kamps Bäckerei;Bäckerei;Baecker
6.1243786;50.9612502;185;McDonald's Restaurant;Restaurant;Restaurant
6.122795;50.9609962;186;Havana American Diner;Restaurant;Restaurant
6.120581;50.9622133;187;Kamps Bäckerei;Bäckerei;Baecker
6.1190248;50.9634225;188;Bäckerei-Bremer GmbH;Bäckerei;Baecker
6.11996;50.96405;189;Landbäckerei Stinges;Bäckerei;Baecker
6.1139056;50.9703602;190;Bäckerei Böven;Bäckerei;Baecker
6.1136373;50.9711603;191;Kamps Bäckerei;Bäckerei;Baecker
6.10037;50.97826;192;Bäckerei Brueder Oebel;Bäckerei;Baecker
6.1292901;50.9629008;196;Pizzeria Carthago Geilenkirchen;Pizzeria;Restaurant
6.1291118;50.962961;197;Gaststätte Marktschänke;Pizzeria;Restaurant
6.1263298;50.9626583;198;China Garten;Restaurant;Restaurant
6.1245752;50.9631078;199;Räucherwerk;Restaurant;Restaurant
6.12193;50.96273;202;Casa Leonardo;Restaurant;Restaurant
6.1212436;50.9631831;203;Landbäckerei Stinges;Bäckerei;Baecker
6.1207892;50.9633806;204;Bäckerei Dohlen;Bäckerei;Baecker
6.1198392;50.9628633;205;Restaurant Kornmühle GmbH;Restaurant;Restaurant
6.1237546;50.9620882;206;Pizzeria Etna;Pizzeria;Restaurant
6.1208726;50.9634027;207;Metzgerei Meertens-Busch Geilenkirchen;Metzgerei;Metzger
6.1191001;50.96475;208;Pizzeria Romana;Pizzeria;Restaurant
6.1168907;50.9653584;209;Laguna Grill;Imbiss;Restaurant
6.11781;50.96161;211;Viet Asia Cuisine;Restaurant;Restaurant
6.1198173;50.9643083;212;Grill Haus Geilenkirchen;Imbiss;Restaurant
6.1188358;50.9649723;213;La Toscana - Restaurant & Pizzeria;Restaurant;Restaurant
6.1128006;50.9720902;214;Pizzeria Milano bollywood;Pizzeria;Restaurant
6.12099;50.97077;215;Babylon-Bar UG (haftungsbeschränkt);Imbiss;Restaurant
6.1454072;50.9760622;217;Jugendheim Süggerath;Restaurant;Restaurant
6.14871;50.97576;218;Gasthof Damm;Gaststätte;Restaurant
6.108369;50.978633;219;Mykonos Restaurant;Restaurant;Restaurant
6.11921;50.97865;220;Gaststätte Jütten UG (haftungsbeschränkt);Gaststätte;Restaurant
6.11858;50.9843;221;Hong Yun Lai;Restaurant;Restaurant
6.105268;50.983089;222;Heimgesellschaft Selfkant Kaserne e.V.;Restaurant;Restaurant
6.0756238;50.9811722;224;Gillrather Kebaphaus;Imbiss;Restaurant
6.07433;50.98131;225;Grill Master;Imbiss;Restaurant
6.0698873;50.9823639;226;Il Genio Gillrath;Imbiss;Restaurant
6.03056;50.98862;229;Restaurant El Greco Neue Name DAFNE;Restaurant;Restaurant
5.9970814;50.9928963;231;Med Kebaphaus Gangelt;Imbiss;Restaurant
5.9960105;50.9930634;232;Pizzeria Il Genio;Pizzeria;Restaurant
5.9958556;50.9930482;233;Restaurant Peppers Grill & Bar in Gangelt;Restaurant;Restaurant
5.995604;50.992942;235;Zweiländer-Eck Restaurant;Restaurant;Restaurant
5.9857633;50.994163;237;Wurstspezialitäten Esser;Metzger;Metzger
5.9975374;50.9865312;238;Haus Hamacher;Restaurant;Restaurant
5.9887168;50.9872375;239;Leo Martin Honings Geflügelhof;Metzger;Metzger
5.9888353;50.9937871;240;Landbäckerei Stinges;Bäckerei;Baecker
5.9854642;50.9941044;241;Bäcker Dick GmbH;Bäcker;Baecker
5.9774228;50.9828266;243;Brommler Mühle;Restaurant;Restaurant
5.9771829;50.9829132;244;Gaststätte Haus Derichs;Gaststätte;Restaurant
5.968373;50.9827202;245;Haus Wildblick;Restaurant;Restaurant
5.9417444;50.9959444;246;Pizzeria Bella Italia;Pizzeria;Restaurant
5.9433712;50.9934109;247;Bäckerei-Konditorei Stassen;Bäckerei;Baecker
5.9314446;50.9974115;248;Zur Bahn;Restaurant;Restaurant
5.9301942;50.9979363;249;Büsch GmbH;Restaurant;Restaurant
5.9286285;51.003385;250;Waldschänke;Restaurant;Restaurant
5.933225;51.0044184;251;El Pimiento;Restaurant;Restaurant
5.9701611;51.0055779;252;Kroatisch Restaurant Hastenrather Hof;Restaurant;Restaurant
5.9692702;51.0107128;253;Flammerie;Imbiss;Restaurant
5.9262251;50.9942128;254;AMICI;Restaurant;Restaurant
5.9264471;50.9939947;255;Asia Wok & Grill;Imbiss;Restaurant
5.9232909;50.9952645;256;Restaurant Zagreb;Restaurant;Restaurant
5.9217819;50.9953016;257;Theo und Annemarie Backhaus;Restaurant;Restaurant
