x;y;gid;Name;description;new
6.14968;51.087;163;Martinusschule Orsbeck;Schule;Grundschule
6.14203;51.05467;173;Verein der Freunde und Förderer der Kath. Grundschule Heisnberg IV - Oberbruch e.V.;Grundschule;Grundschule
6.1123185;51.052816;180;Gemeinschaftsgrundschule Schafhausen;Grundschule;Grundschule
6.12781;51.0568;182;Katholische Grundschule Heinsberg III;Grundschule;Grundschule
6.12872;51.07337;184;Gemeinschaftsgrundschule Unterbruch II;Grundschule;Grundschule
6.0913396;51.0134561;197;Kath. Grundschule Heinsberg VII;Grundschule;Grundschule
5.9028564;51.0512646;1225;Katholische Grundschule Selfkant II;Grundschule;Grundschule
6.1093201;50.91938;8;Carolus-Magnus-Gymnasium Übach-Palenberg;Gymnasium;Gymnasium
6.28187;51.13627;82;Maximilian-Kolbe-Gymnasium;Gymnasium;Gymnasium
6.3076302;51.0813829;104;Cornelius-Burgh-Gymnasium;Gymnasium;Gymnasium
6.3083492;51.0823435;105;Cusanus Gymnasium Erkelenz;Gymnasium;Gymnasium
6.22608;51.05655;136;Gymnasium Hückelhoven Sekretariat EPG;Gymnasium;Gymnasium
6.2254971;51.054714;138;Gymnasium Hückelhoven;Gymnasium;Gymnasium
6.0974517;51.0571013;188;KreisGymnasium Heinsberg;Gymnasium;Gymnasium
6.0015754;50.9946319;4;GHS Gangelt;Hauptschule;Hauptschule
6.1245574;50.9671606;21;Städtische Haupt + Realschule Geilenkirchen ( HSGK/RSGK );Hauptschule;Hauptschule
6.2814956;51.1369149;83;Gemeinschaftshauptschule Wegberg;Gemeinschaftsschule;Hauptschule
6.3133108;51.0799325;112;Hauptschule Erkelenz;Hauptschule;Hauptschule
6.2250216;51.0647091;144;Schulen, allgemein bildende Schulen Hauptschulen;Schule;Hauptschule
6.1490249;51.0565386;168;Gemeinschaftshauptschule Heinsberg - Oberbruch;Hauptschule;Hauptschule
6.12138;50.91622;10;Katholischer Kindergarten Arche Noah;Kindergarten;Kindergarten
6.10863;50.91988;11;Kindergarten d.Arbeiterwohlfahrt;Kindergarten;Kindergarten
6.104175;50.9256666;12;pro multis gGmbH kath. Kindergarten St.Theresia;Kindergarten;Kindergarten
6.08153;50.95465;18;Städt. Kindertagesstätte Teveren Mullewapp;Kindertagesstätte;Kindergarten
6.1081845;50.9712116;23;AWO Kindertagesstätte Geilenkirchen;Kindertagesstätte;Kindergarten
6.12232;50.96524;29;Sonstige kath. Einrichtungen Kindergarten St. Ursula;Katholische Einrichtung;Kindergarten
6.1117152;50.9707756;31;Stadt Geilenkirchen Städtische Kindertagesstätte Bauchem;Kindertagesstätte;Kindergarten
6.1032701;50.98418;34;Die Waldwichtel;Kindergarten;Kindergarten
6.07815;50.98342;36;Katholische Kindertagesstätte St. Mariä Namen;Kindertagesstätte;Kindergarten
